session_id,user,src_ip,src_host,auth_count_1149,start,end_A_next1149_or_pad,end_B_last_disconnect_or_none,duration_A_sec,duration_B_sec,disconnect_count,reconnect_count,confidence,evidence_auth_1149_first,evidence_auth_1149_last,evidence_disconnect_last,evidence_reconnect_last,evidence_events
S0006,UNKNOWN,163.152.10.117,,1,2025-12-06T14:28:44.184557+00:00,2025-12-06T14:38:44.184557+00:00,,600,,0,0,LOW,2025-12-06T14:28:44.184557+00:00,2025-12-06T14:28:44.184557+00:00,,,"[{'timestamp': '2025-12-06T14:28:44.184557+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0007,UNKNOWN,163.152.10.117,,1,2025-12-07T06:22:59.260815+00:00,2025-12-07T06:32:59.260815+00:00,,600,,0,0,LOW,2025-12-07T06:22:59.260815+00:00,2025-12-07T06:22:59.260815+00:00,,,"[{'timestamp': '2025-12-07T06:22:59.260815+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0025,pcj,163.152.125.134,,1,2025-12-08T03:51:32.189943+00:00,2025-12-08T04:01:32.189943+00:00,,600,,0,0,MEDIUM,2025-12-08T03:51:32.189943+00:00,2025-12-08T03:51:32.189943+00:00,,,"[{'timestamp': '2025-12-08T03:51:32.189943+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0008,UNKNOWN,163.152.10.117,,1,2025-12-09T18:20:10.263260+00:00,2025-12-09T18:30:10.263260+00:00,,600,,0,0,LOW,2025-12-09T18:20:10.263260+00:00,2025-12-09T18:20:10.263260+00:00,,,"[{'timestamp': '2025-12-09T18:20:10.263260+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0026,pcj,163.152.125.134,,1,2025-12-10T11:14:42.933931+00:00,2025-12-10T11:24:42.933931+00:00,,600,,0,0,MEDIUM,2025-12-10T11:14:42.933931+00:00,2025-12-10T11:14:42.933931+00:00,,,"[{'timestamp': '2025-12-10T11:14:42.933931+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0009,UNKNOWN,163.152.10.117,,1,2025-12-11T09:52:44.204695+00:00,2025-12-11T10:02:44.204695+00:00,,600,,0,0,LOW,2025-12-11T09:52:44.204695+00:00,2025-12-11T09:52:44.204695+00:00,,,"[{'timestamp': '2025-12-11T09:52:44.204695+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0010,UNKNOWN,163.152.10.117,,1,2025-12-11T10:59:22.809139+00:00,2025-12-11T11:09:22.809139+00:00,,600,,0,0,LOW,2025-12-11T10:59:22.809139+00:00,2025-12-11T10:59:22.809139+00:00,,,"[{'timestamp': '2025-12-11T10:59:22.809139+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0027,pcj,163.152.125.134,,1,2025-12-12T03:16:35.813189+00:00,2025-12-12T03:26:35.813189+00:00,,600,,0,0,MEDIUM,2025-12-12T03:16:35.813189+00:00,2025-12-12T03:16:35.813189+00:00,,,"[{'timestamp': '2025-12-12T03:16:35.813189+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0028,pcj,163.152.125.134,,2,2025-12-16T11:12:40.370831+00:00,2025-12-16T11:41:55.458042+00:00,,1755,,0,0,MEDIUM,2025-12-16T11:12:40.370831+00:00,2025-12-16T11:31:55.458042+00:00,,,"[{'timestamp': '2025-12-16T11:12:40.370831+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}, {'timestamp': '2025-12-16T11:31:55.458042+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0011,UNKNOWN,163.152.10.117,,1,2025-12-16T15:21:29.743280+00:00,2025-12-16T15:31:29.743280+00:00,,600,,0,0,LOW,2025-12-16T15:21:29.743280+00:00,2025-12-16T15:21:29.743280+00:00,,,"[{'timestamp': '2025-12-16T15:21:29.743280+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
